id,name,score
1,Student001,54
2,Student002,55
3,Student003,56
4,Student004,57
5,Student005,58
6,Student006,59
7,Student007,60
8,Student008,61
9,Student009,62
10,Student010,63
11,Student011,64
12,Student012,65
13,Student013,66
14,Student014,67
15,Student015,68
16,Student016,69
17,Student017,70
18,Student018,71
19,Student019,72
20,Student020,73
21,Student021,74
22,Student022,75
23,Student023,76
24,Student024,77
25,Student025,78
26,Student026,79
27,Student027,80
28,Student028,81
29,Student029,82
30,Student030,83
31,Student031,84
32,Student032,85
33,Student033,86
34,Student034,87
35,Student035,88
36,Student036,89
37,Student037,90
38,Student038,91
39,Student039,92
40,Student040,93
41,Student041,94
42,Student042,95
43,Student043,96
44,Student044,97
45,Student045,98
46,Student046,99
47,Student047,100
48,Student048,54
49,Student049,55
50,Student050,56
51,Student051,57
52,Student052,58
53,Student053,59
54,Student054,60
55,Student055,61
56,Student056,62
57,Student057,63
58,Student058,64
59,Student059,65
60,Student060,66
61,Student061,67
62,Student062,68
63,Student063,69
64,Student064,70
65,Student065,71
66,Student066,72
67,Student067,73
68,Student068,74
69,Student069,75
70,Student070,76
71,Student071,77
72,Student072,78
73,Student073,79
74,Student074,80
75,Student075,81
76,Student076,82
77,Student077,83
78,Student078,84
79,Student079,85
80,Student080,86
81,Student081,87
82,Student082,88
83,Student083,89
84,Student084,90
85,Student085,91
86,Student086,92
87,Student087,93
88,Student088,94
89,Student089,95
90,Student090,96
91,Student091,97
92,Student092,98
93,Student093,99
94,Student094,100
95,Student095,54
96,Student096,55
97,Student097,56
98,Student098,57
99,Student099,58
100,Student100,59
